Night, with activity
time,temp1,humid1,temp2,humid2,Temp3,Humid3,Avg temp,Avg humid
237,30.76,54,30.27,67,30.76,0,30.60,40.3333333333333
238,31.25,65,30.76,57,31.25,0,31.09,40.6666666666667
239,30.76,53,31.25,52,31.25,56,31.09,53.6666666666667
240,30.76,87,31.74,56,30.76,52,31.09,65
241,30.76,75,31.25,44,30.27,52,30.76,57
242,30.27,73,30.76,40,30.27,49,30.43,54
243,30.27,68,30.27,70,29.79,41,30.11,59.6666666666667
244,30.27,58,30.27,227,29.79,39,30.11,108
245,30.27,49,30.27,239,29.79,31,30.11,106.333333333333
246,29.79,37,30.27,234,29.79,30,29.95,100.333333333333
247,29.79,30,29.79,230,29.3,30,29.6266666666667,96.6666666666667
248,29.79,25,29.79,231,29.3,27,29.6266666666667,94.3333333333333
249,29.79,20,29.79,237,29.3,25,29.6266666666667,94
250,29.3,21,29.79,249,29.3,22,29.4633333333333,97.3333333333333
251,29.3,17,29.79,227,29.3,15,29.4633333333333,86.3333333333333
252,29.3,17,29.79,200,29.3,14,29.4633333333333,77
253,29.3,16,29.3,183,28.81,6,29.1366666666667,68.3333333333333
254,29.3,16,29.3,155,28.81,6,29.1366666666667,59
255,28.81,16,29.3,119,28.81,4,28.9733333333333,46.3333333333333
256,28.81,13,29.3,91,28.81,2,28.9733333333333,35.3333333333333
257,28.81,5,29.3,65,28.81,1,28.9733333333333,23.6666666666667
258,28.81,5,29.3,58,28.32,8,28.81,23.6666666666667
259,28.81,1,29.3,18,28.32,8,28.81,9
260,28.81,0,28.81,13,28.32,12,28.65,8.33333333333333
261,28.32,2,28.81,14,28.32,13,28.48,9.66666666666667
262,28.32,1,28.81,14,28.32,16,28.48,10.3333333333333
263,28.32,11,28.81,14,28.32,15,28.48,13.3333333333333
264,28.32,11,28.81,13,27.83,12,28.32,12
265,28.32,14,28.81,6,27.83,8,28.32,9.33333333333333
266,28.32,14,28.81,4,27.83,7,28.32,8.33333333333333
267,28.32,14,28.32,1,27.83,3,28.16,6
268,27.83,14,28.32,1,27.83,1,27.99,5.33333333333333
269,27.83,11,28.32,1,27.83,0,27.99,4
270,27.83,11,28.32,5,27.83,1,27.99,5.66666666666667
271,27.83,3,28.32,8,27.34,6,27.83,5.66666666666667
272,27.83,2,28.32,10,27.34,7,27.83,6.33333333333333
273,27.83,0,28.32,13,27.34,10,27.83,7.66666666666667
274,27.83,0,28.32,13,27.34,12,27.83,8.33333333333333
275,27.83,2,28.32,13,27.34,15,27.83,10
276,27.83,3,28.32,14,27.34,14,27.83,10.3333333333333
277,27.83,2,27.83,11,27.34,12,27.67,8.33333333333333
278,27.83,5,27.83,6,27.34,10,27.67,7
279,27.34,8,27.83,5,26.86,9,27.34,7.33333333333333
280,27.34,10,27.83,4,26.86,8,27.34,7.33333333333333
281,27.34,12,27.83,1,26.86,5,27.34,6
282,27.34,12,27.83,6,26.86,2,27.34,6.66666666666667
283,27.34,12,27.83,7,26.86,2,27.34,7
284,27.34,14,27.83,6,26.86,0,27.34,6.66666666666667
285,27.34,13,27.83,6,26.86,1,27.34,6.66666666666667
286,27.34,11,27.83,7,26.86,0,27.34,6
287,27.34,14,27.83,6,26.86,3,27.34,7.66666666666667
288,27.34,12,27.34,7,26.86,8,27.18,9
289,26.86,10,27.34,8,26.37,10,26.86,9.33333333333333
290,27.34,11,27.34,8,26.37,14,27.02,11
291,26.86,6,27.34,8,26.37,14,26.86,9.33333333333333
292,26.86,2,27.34,9,26.37,11,26.86,7.33333333333333
293,26.86,4,27.34,9,26.37,7,26.86,6.66666666666667
294,26.86,2,27.34,8,26.37,5,26.86,5
295,26.86,2,27.34,7,26.37,2,26.86,3.66666666666667
296,26.86,2,27.34,7,26.37,0,26.86,3
297,26.86,2,27.34,7,26.37,0,26.86,3
298,26.86,5,27.34,6,26.37,0,26.86,3.66666666666667
299,26.86,9,27.34,6,26.37,3,26.86,6
300,26.86,10,26.86,7,26.37,6,26.70,7.66666666666667
